[2021-01-12 10:34:30,727]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:34:30,754]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:34:31,814]-[util.py]-[INFO]:确认完成
[2021-01-12 10:34:33,071]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:34:33,864]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:34:35,125]-[util.py]-[INFO]:退出登陆
[2021-01-12 10:34:36,646]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:34:36,679]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:34:37,763]-[util.py]-[INFO]:退出登陆
[2021-01-12 10:34:39,019]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:34:39,057]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:34:40,142]-[util.py]-[INFO]:退出登陆
[2021-01-12 10:34:41,457]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:34:41,495]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:34:42,579]-[util.py]-[INFO]:退出登陆
[2021-01-12 10:34:43,856]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:34:43,894]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:34:45,017]-[util.py]-[INFO]:退出登陆
[2021-01-12 10:34:46,279]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:34:46,320]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:34:47,429]-[util.py]-[INFO]:退出登陆
[2021-01-12 10:34:48,727]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:34:48,769]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:34:49,851]-[util.py]-[INFO]:退出登陆
[2021-01-12 10:34:51,112]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:34:51,225]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:34:52,449]-[util.py]-[INFO]:退出登陆
[2021-01-12 10:34:53,758]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:34:53,817]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:34:54,893]-[util.py]-[INFO]:退出登陆
[2021-01-12 10:58:15,527]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:58:15,569]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:58:16,630]-[util.py]-[INFO]:确认完成
[2021-01-12 10:58:17,850]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:58:17,878]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:58:18,928]-[util.py]-[INFO]:确认完成
[2021-01-12 10:58:20,158]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:58:20,191]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:58:21,256]-[util.py]-[INFO]:确认完成
[2021-01-12 10:58:22,513]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:58:22,577]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:58:23,657]-[util.py]-[INFO]:确认完成
[2021-01-12 10:58:24,924]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:58:24,955]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:58:26,009]-[util.py]-[INFO]:确认完成
[2021-01-12 10:58:27,259]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:58:27,290]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:58:28,340]-[util.py]-[INFO]:确认完成
[2021-01-12 10:58:29,571]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:58:29,621]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:58:30,690]-[util.py]-[INFO]:确认完成
[2021-01-12 10:58:31,916]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:58:31,954]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:58:33,017]-[util.py]-[INFO]:确认完成
[2021-01-12 10:58:34,253]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:58:34,280]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:58:35,337]-[util.py]-[INFO]:确认完成
[2021-01-12 10:58:36,558]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:58:37,334]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:58:38,543]-[util.py]-[INFO]:退出登陆
[2021-01-12 10:58:39,868]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:58:39,901]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:58:40,985]-[util.py]-[INFO]:退出登陆
[2021-01-12 10:58:42,320]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:58:42,351]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:58:43,432]-[util.py]-[INFO]:退出登陆
[2021-01-12 10:58:44,697]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:58:44,728]-[util.py]-[WARNING]:断言成功
